RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr11_63586045	0.83	0.76	0.83	0.72	0.79	0.67	0.6	0.82	0.94
chr11_63586100	1	0.333	0.353	1	1	0.5	0.25	0.733	1
chr11_63586833	0.31	0.1	0.22	0.33	0.26	0.27	0.34	0.24	0.33
chr11_63586899	0.42	0.44	0.43	0.5	0.33	0.62	0.48	0.64	0.46
chr11_63588999	0.42	0.28	0.29	0.3	0.4	0.4	0.37	0.32	0.31
chr11_63590447	1	0.96	1	1	1	1	1	1	1
chr11_63591242	0.12	0.19	0.09	0.11	0.14	0.13	0.32	0.07	0.24
chr11_63591270	0.21	0.16	0.17	0.23	0.34	0.28	0.42	0.09	0.22
chr11_63591282	0.08	0.09	0.09	0.1	0.24	0.09	0.09	0.07	0.2
chr11_63591299	0.07	0.09	0.1	0.11	0.2	0.1	0.1	0.06	0.1
chr11_63591336	0.21	0.17	0.215	0.34	0.33	0.22	0.14	0.17	0.41
chr11_63592224	0.067	0.224	0.207	0.277	0.2105	0.455	0.1	0.214	0.2
chr11_63592229	0.34	0.39	0.33	0.35	0.24	0.27	0.3	0.5	0.46
chr11_63592235	0.078	0.079	0.133	0.171	0.179	0.214	0.122	0.152	0.191
chr11_63592295	0.21	0.33	0.31	0.42	0.31	0.47	0.31	0.42	0.32
chr11_63592305	0.51	0.56	0.41	0.68	0.64	0.53	0.64	0.5	0.6
chr11_63592313	0.22	0.077	0.32	0.25	0.188	0.333	0.089	0.19	0.302
chr11_63592331	0.15	0.18	0.18	0.26	0.18	0.5	0.1	0.22	0.07
chr11_63592355	0.3	0.32	0.25	0.4	0.41	0.5	0.3	0.3	0.38
chr11_63596911	0.085	0.029	0.054	0.049	0.037	0.085	0.055	0.054	0.054
chr11_63600583	0.25	0.27	0.23	0.27	0.3	0.33	0.18	0.27	0.28
chr11_63600587	0.23	0.23	0.17	0.27	0.27	0.19	0.14	0.23	0.26
chr11_63604052	0.07	0.09	0.23	0.14	0.08	0.19	0.14	0.14	0.28
chr11_63604076	0.16	0.23	0.25	0.28	0.28	0.25	0.16	0.25	0.36
chr11_63604100	0.407	0.214	0.353	0.316	0.391	0.3	0.368	0.3605	0.381
chr11_63605144	0.14	0.08	0.24	0.15	0.13	0.23	0.15	0.07	0.22
chr11_63605150	0.25	0.22	0.16	0.08	0.13	0.26	0.23	0.19	0.09
chr11_63605281	0.21	0.27	0.18	0.4	0.28	0.24	0.17	0.24	0.53
chr11_63605286	0.42	0.33	0.43	0.41	0.62	0.33	0.5	0.57	0.5
chr11_63605389	0.4	0.19	0.46	0.49	0.34	0.45	0.55	0.27	0.32
chr11_63605419	0.24	0.14	0.28	0.22	0.27	0.27	0.29	0.44	0.27
chr11_63612211	0.13	0.07	0.23	0.35	0.14	0.18	0.19	0.07	0.2
chr11_63612262	0.022	0.058	0.135	0.155	0.063	0.113	0.133	0.043	0.049
chr11_63612263	0.048	0.036	0.059	0.108	0.04	0.093	0.089	0.066	0.099
chr11_63612301	0.25	0.18	0.39	0.45	0.25	0.41	0.32	0.18	0.285
chr11_63613427	0.62	0.4	0.45	0.48	0.56	0.73	0.58	0.75	0.57
chr11_63613429	0.6	0.4	0.45	0.55	0.56	0.8	0.55	0.75	0.8
chr11_63613431	0.62	0.4	0.33	0.45	0.56	0.8	0.55	0.75	0.555
chr11_63614375	1	1	1	1	1	1	1	1	1
chr11_63686726	0.41	0.27	0.28	0.12	0.2	0.265	0.14	0.26	0.31
chr11_63686753	0.25	0.32	0.19	0.33	0.24	0.235	0.23	0.21	0.21
chr11_63693999	0.44	0.22	0.62	0.29	0.44	0.64	0.61	0.44	0.41
chr11_63694013	1	0.65	0.77	1	1	0.85	0.89	0.88	0.97
chr11_63701793	0.42	0.43	0.43	0.16	0.24	0.38	0.58	0.33	0.27
chr11_63701808	0.44	0.38	0.62	0.38	0.48	0.48	0.69	0.6	0.33
chr11_63701824	0.54	0.37	0.44	0.36	0.42	0.53	0.53	0.54	0.36
chr11_63701851	0.1	0.115	0.115	0.115	0.18	0.13	0.09	0.115	0.115
chr11_63701855	0.12	0.25	0.25	0.28	0.31	0.15	0.15	0.25	0.34
chr11_63701870	0.33	0.19	0.09	0.13	0.1	0.16	0.13	0.13	0.13
chr11_63701889	0.64	0.56	0.8	0.62	0.63	0.67	0.64	0.48	0.63
chr11_63705400	0.36	0.5	0.5	0.6	0.33	0.38	0.47	0.33	0.29
chr11_63705467	0.34	0.53	0.71	0.78	0.47	0.73	0.72	0.53	0.73
chr11_63706452	0.36	0.36	0.62	0.21	0.36	0.55	0.33	0.5	0.18
chr11_63707825	0.67	0.45	0.63	0.34	0.39	0.87	0.22	0.61	0.19
chr11_63713579	0.29	0.49	0.55	0.47	0.32	0.59	0.31	0.18	0.81
chr11_63727689	0.091	0.157	0.161	0.081	0.147	0.125	0.153	0.214	0.15
chr11_63727732	0.22	0.15	0.28	0.11	0.24	0.23	0.21	0.27	0.13
chr11_63727746	0.14	0.07	0.14	0.09	0.21	0.22	0.16	0.14	0.06
chr11_63729091	0.07	0.08	0.07	0.06	0.08	0.06	0.07	0.07	0.07
chr11_63730560	0.57	0.46	0.5	0.67	0.64	0.57	0.37	0.6	0.57
chr11_63731925	0.16	0.15	0.15	0.2	0.12	0.19	0.3	0.175	0.27
chr11_63731927	0.16	0.22	0.14	0.15	0.16	0.13	0.21	0.16	0.17
chr11_63732422	0.23	0.26	0.225	0.24	0.22	0.19	0.18	0.26	0.18
chr11_63732437	0.2	0.2	0.176	0.176	0.148	0.211	0.242	0.333	0.2
chr11_63737580	0.28	0.43	0.65	0.38	0.27	1	0.53	0.25	0.33
chr11_63843835	0.36	0.26	0.11	0.47	0.16	0.4	0.47	0.34	0.32
chr11_63844472	0.11	0.09	0.23	0.07	0.11	0.2	0.18	0.11	0.07
chr11_63855281	0.2	0.375	0.333	0.333	0.25	0.333	0.25	0.375	0.577
chr11_6403547	0.18	0.25	0.32	0.6	0.27	0.11	0.14	0.16	0.65
chr11_64316641	1	1	1	1	1	1	1	1	1
chr11_64673788	0.78	0.73	0.76	0.81	0.64	0.8	0.76	0.63	0.73
chr11_64673794	0.11	0.14	0.14	0.16	0.12	0.21	0.14	0.12	0.24
chr11_64673795	0.12	0.07	0.17	0.14	0.13	0.13	0.06	0.13	0.19
chr11_64673809	0	0	0	0	0	0	0	0	0
chr11_64673818	0.095	0.095	0.095	0.095	0.095	0.1	0.09	0.07	0.11
chr11_64673822	0.066	0.113	0.113	0.143	0.113	0.104	0.136	0.1	0.219
chr11_64673827	0.137	0.111	0.256	0.143	0.119	0.119	0.072	0.119	0.116
chr11_64673858	0.368	0.14	0.244	0.259	0.2	0.296	0.229	0.167	0.265
chr11_64673872	0.29	0.333	0.13	0.217	0.364	0.143	0.422	0.255	0.22
chr11_64673875	0.11	0.12	0.32	0.45	0.26	0.21	0.21	0.21	0.17
chr11_64673889	0.54	0.8	0.68	0.76	0.76	0.57	0.83	0.5	0.65
chr11_64673890	0.34	0.47	0.26	0.25	0.26	0.5	0.33	0.5	0.49
chr11_64673916	0.53	0.79	0.6	0.91	0.43	0.86	0.69	0.4	0.78
chr11_64673921	0.68	0.73	0.56	0.5	0.51	0.54	0.66	0.31	0.35
chr11_64673926	0.18	0.29	0.295	0.25	0.3	0.54	0.41	0.31	0.25
chr11_64674212	0.07	0.07	0.09	0.3	0.07	0.23	0.13	0.19	0.19
chr11_64674253	0.1	0.11	0.15	0.1	0.11	0.12	0.06	0.11	0.11
chr11_64674279	0.37	0.36	0.26	0.47	0.32	0.31	0.28	0.32	0.42
chr11_64674288	0.26	0.27	0.25	0.42	0.3	0.24	0.17	0.22	0.3
chr11_64674307	0.72	0.48	0.55	0.67	0.59	0.71	0.55	0.31	0.81
chr11_64674323	0.15	0.4	0.44	0.5	0.14	0.33	0.21	0.35	0.2
chr11_64674328	0.92	0.64	0.79	0.88	0.9	0.97	0.8	0.79	0.89
chr11_64674329	0.28	0.18	0.37	0.28	0.11	0.15	0.2	0.27	0.2
chr11_64674357	0.14	0.19	0.33	0.16	0.3	0.53	0.17	0.19	0.19
chr11_64674358	0.36	0.38	0.42	0.12	0.24	0.6	0.21	0.3	0.15
chr11_64674359	0.389	0.2	0.2	0.219	0.13	0.5	0.12	0.2	0.136
chr11_64674360	0.47	0.43	0.42	0.46	0.5	0.465	0.5	0.57	0.31
chr11_64674361	0.48	0.52	0.42	0.59	0.4	0.56	0.36	0.6	0.28
chr11_64674362	0.32	0.38	0.395	0.45	0.41	0.47	0.37	0.33	0.44
chr11_64674385	0.333	0.143	0.25	0.25	0.16	0.231	0.309	0.25	0.294
chr11_64674395	0.72	0.71	0.92	0.45	0.7	1	0.81	0.83	0.69
chr11_64674396	0.27	0.33	0.46	0.41	0.22	0.73	0.38	0.5	0.23
chr11_64674410	0.32	0.188	0.4	0.259	0.2	0.4	0.371	0.32	0.32
chr11_64674411	0.79	0.39	0.77	0.63	0.62	1	0.64	0.25	0.79
chr11_64701536	0.4	0.455	0.385	0.273	0.4	0.455	0.257	0.4	0.591
chr11_64772323	0.06	0.07	0.07	0.09	0.075	0.1	0.08	0.13	0.07
chr11_64776042	0.14	0.13	0.18	0.14	0.14	0.22	0.14	0.16	0.21
chr11_64776628	0.21	0.41	0.4	0.52	0.19	0.38	0.35	0.53	0.54
chr11_64909821	1	1	1	1	1	1	1	1	1
chr11_6491020	0.19	0.15	0.23	0.12	0.33	0.21	0.45	0.16	0.17
chr11_6491395	0.353	0.2	0.583	0.385	0.545	0.5	0.647	0.5	0.5
chr11_6491419	0.67	0.86	0.74	0.62	0.92	0.89	0.9	0.69	1
chr11_6491483	0.12	0.167	0.167	0.125	0.188	0.167	0.13	0.286	0.231
chr11_6491508	0.189	0.292	0.3	0.154	0.15	0.292	0.292	0.3	0.3
chr11_6491553	0.25	0.1	0.2	0.24	0.34	0.22	0.31	0.17	0.23
chr11_6492132	0.11	0.19	0.12	0.16	0.1	0.11	0.09	0.11	0.11
chr11_6492148	0.038	0.044	0.086	0.057	0.062	0.057	0.038	0.057	0.133
chr11_6492149	0.09	0.09	0.07	0.17	0.08	0.12	0.13	0.08	0.09
chr11_6492170	0.09	0.09	0.3	0.28	0.19	0.15	0.2	0.15	0.17
chr11_6492171	0.12	0.23	0.27	0.08	0.16	0.11	0.2	0.16	0.16
chr11_6492178	0.12	0.09	0.12	0.3	0.23	0.19	0.25	0.07	0.06
chr11_6492179	0.94	0.88	0.84	0.85	0.76	0.85	0.9	0.84	1
chr11_6492189	0.45	0.57	0.28	0.49	0.41	0.51	0.52	0.38	0.43
chr11_6492194	0.219	0.123	0.091	0.094	0.123	0.123	0.197	0.07	0.156
chr11_6492203	0.1	0.1	0.14	0.08	0.1	0.14	0.06	0.1	0.09
chr11_6492711	0.158	0.353	0.357	0.444	0.357	0.474	0.357	0.222	0.458
chr11_6492715	0.842	0.944	0.929	0.711	0.929	0.85	0.438	0.778	1
chr11_6492777	0.81	0.833	0.8215	0.714	0.941	0.7	0.611	0.867	1
chr11_6494213	0.25	0.16	0.28	0.3	0.26	0.31	0.33	0.26	0.09
chr11_6495567	0.085	0.077	0.148	0.064	0.1	0.12	0.1	0.108	0.1
chr11_6495569	0.17	0.26	0.27	0.18	0.11	0.24	0.18	0.15	0.21
chr11_6495596	0.64	0.32	0.5	0.38	0.29	0.38	0.53	0.42	0.29
chr11_6507473	0.222	0.4	0.167	0.818	0.217	0.4	0.471	0.417	0.4
chr11_6507483	0.47	0.52	0.22	0.83	0.43	0.79	0.24	0.33	0.67
chr11_6507485	0.36	0.52	0.26	0.5	0.35	0.86	0.26	0.36	0.36
chr11_6507488	0.312	0.278	0.158	0.538	0.208	0.3	0.438	0.3	0.3
chr11_65097719	0.55	0.39	0.76	0.58	0.35	0.28	0.6	0.13	0.38
chr11_65098096	0.41	0.64	0.4	0.57	0.21	0.6	0.53	0.4	0.9
chr11_65098987	0.286	0.13	0.182	0.182	0.176	0.182	0.103	0.312	0.2
chr11_65099026	0.167	0.27	0.261	0.222	0.188	0.2415	0.326	0.13	0.444
chr11_65099041	0.35	0.18	0.36	0.32	0.305	0.19	0.36	0.1	0.29
chr11_65099073	0.23	0.14	0.3	0.26	0.11	0.23	0.22	0.17	0.38
chr11_65099717	0.5	0.71	0.33	0.32	0.5	0.57	0.22	0.5	0.53
chr11_65100781	0.56	0.17	0.5	0.28	0.6	0.5	0.24	0.5	0.5
chr11_65100807	0.52	0.12	0.36	0.28	0.21	0.24	0.19	0.245	0.25
chr11_65100811	0.29	0.32	0.31	0.41	0.3	0.47	0.43	0.25	0.33
chr11_65102960	0.14	0.52	0.26	0.35	0.67	0.5	0.63	0.44	0.49
chr11_65103039	0.2	0.3	0.47	0.7	0.18	0.38	0.33	0.5	0.26
chr11_65103177	0.2	0.11	0.11	0.11	0.21	0.27	0.22	0.16	0.27
chr11_65284078	0.58	0.53	0.5	0.58	0.71	0.38	0.67	0.58	0.73
chr11_65323405	0.333	0.273	0.222	0.458	0.333	0.333	0.4	0.231	0.357
chr11_65323774	0.21	0.15	0.3	0.3	0.29	0.32	0.22	0.14	0.32
chr11_65323784	0.32	0.68	0.32	0.35	0.37	0.42	0.29	0.37	0.43
chr11_65323796	0.26	0.35	0.28	0.34	0.21	0.32	0.21	0.25	0.26
chr11_65323802	0.23	0.19	0.23	0.32	0.13	0.225	0.44	0.22	0.19
chr11_65348103	0.35	0.44	0.65	0.69	0.71	0.74	0.84	0.56	0.65
chr11_6541080	0.39	0.88	0.4	0.79	0.45	0.93	0.645	0.82	0.5
chr11_65429495	0.15	0.07	0.14	0.21	0.14	0.14	0.14	0.13	0.21
chr11_65429497	0.23	0.11	0.08	0.2	0.16	0.21	0.18	0.16	0.25
chr11_65432700	0.06	0.11	0.18	0.11	0.06	0.11	0.18	0.12	0.08
chr11_65433734	1	0.97	0.94	0.92	0.985	1	1	1	0.97
chr11_65434806	0.16	0.09	0.1	0.19	0.13	0.08	0.1	0.1	0.1
chr11_65439427	0	0	0	0	0.048	0	0	0	0.021
chr11_65439428	0	0	0	0	0	0	0	0	0
chr11_65439476	0.051	0	0.182	0.053	0	0	0.053	0.038	0
chr11_65439579	0.013	0	0.029	0.043	0	0	0	0	0
chr11_65439993	0.015	0	0.081	0	0.077	0	0	0	0.054
chr11_65440001	0.07	0.12	0.07	0.11	0.06	0.09	0.08	0.06	0.11
chr11_65440048	0.057	0.044	0.074	0.09	0.026	0.053	0.052	0.055	0.106
chr11_65440055	0.1	0.06	0.15	0.15	0.08	0.09	0.11	0.105	0.13
chr11_65441347	0.24	0.26	0.2	0.13	0.17	0.24	0.15	0.16	0.35
chr11_65441384	0.1	0.13	0.35	0.17	0.23	0.17	0.12	0.17	0.19
chr11_65442591	0	0	0.049	0	0.033	0	0.047	0	0
chr11_65442619	0.06	0.12	0.13	0.11	0.07	0.1	0.1	0.1	0.1
chr11_65442627	0	0	0.034	0	0.042	0	0.017	0	0
chr11_65442653	0	0	0.04	0	0	0	0	0	0
chr11_65442678	0.08	0.15	0.1	0.1	0.09	0.1	0.1	0.12	0.08
chr11_65442684	0	0	0	0	0	0	0	0	0
chr11_65442701	0	0	0.143	0	0	0	0	0.032	0.043
chr11_65500197	0.016	0.018	0.017	0.021	0.016	0.018	0.016	0.017	0.022
chr11_65500210	0.002	0.002	0.002	0.003	0.003	0.002	0.002	0.002	0.002
chr11_65500222	0.006	0.008	0.008	0.008	0.005	0.01	0.009	0.007	0.013
chr11_65501163	0.001	0	0.001	0.001	0.001	0.001	0.001	0	0.001
chr11_65501197	0.042	0.038	0.04	0.042	0.042	0.04	0.035	0.036	0.038
chr11_65501201	0.013	0.015	0.018	0.012	0.013	0.024	0.015	0.018	0.017
chr11_65501845	0.016	0.018	0.014	0.011	0.014	0.019	0.017	0.014	0.007
chr11_65502977	0.004	0.004	0.003	0.003	0.004	0.003	0.003	0.002	0.004
chr11_65502988	0.002	0.003	0.003	0.003	0.003	0.002	0.002	0.002	0.002
chr11_65503034	0.003	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002
chr11_65503194	0.004	0.002	0.002	0.002	0.003	0.001	0.001	0.001	0.003
chr11_65504078	0.003	0.005	0.004	0.004	0.009	0.004	0.014	0.004	0.005
chr11_65504605	0.002	0.002	0.001	0.001	0.001	0.001	0.002	0.001	0.002
chr11_65504650	0.001	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.002
chr11_65504656	0.002	0.007	0.007	0.003	0.002	0.008	0.008	0.007	0.003
chr11_65505709	0.001	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.002
chr11_65505756	0	0.001	0.002	0.001	0.001	0.001	0.001	0.002	0.001
chr11_65505782	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001	0.001
chr11_65505805	0.036	0.037	0.04	0.036	0.04	0.044	0.036	0.04	0.039
chr11_65505807	0.009	0.01	0.011	0.011	0.007	0.01	0.01	0.009	0.011
chr11_65545046	0.09	0.17	0.11	0.24	0.07	0.12	0.08	0.1	0.07
chr11_65545048	0.031	0	0.054	0.043	0	0	0.041	0	0.021
chr11_65549480	0.769	0.9	1	0.818	0.88	0.818	0.88	0.88	1
chr11_65550165	0.5	0.5	0.48	0.58	0.72	0.81	0.64	0.29	0.76
chr11_65550220	1	0.42	0.45	0.53	0.69	0.75	0.55	0.56	0.69
chr11_65550569	0.26	0.26	0.42	0.13	0.31	0.3	0.18	0.26	0.12
chr11_65618135	1	1	0.97	1	1	1	1	1	1
chr11_6578665	0.99	0.56	1	1	1	0.96	1	0.98	0.4
chr11_65841723	0.44	0.58	0.3	0.43	0.83	0.48	0.5	0.42	0.43
chr11_65854837	0.35	0.9	0.45	0.38	0.415	0.35	0.37	0.47	0.67
chr11_65854838	0.38	0.79	0.46	0.34	0.46	0.5	0.42	0.46	0.8
chr11_6591788	1	1	1	1	1	1	1	1	1
chr11_6592473	1	1	1	1	1	1	1	1	1
chr11_66068888	0.35	0.255	0.2	0.33	0.27	0.24	0.22	0.11	0.47
chr11_66248763	0.85	0.69	0.93	0.86	0.92	1	0.89	0.68	0.93
chr11_66359479	0.88	0.55	0.93	0.5	0.79	0.6	0.74	0.5	0.67
chr11_66516831	0.62	0.5	0.56	0.72	0.83	0.73	0.47	0.24	0.35
chr11_66629984	0.31	0.32	0.4	0.54	0.4	0.4	0.58	0.44	0.31
chr11_66634188	0.25	0.17	0.33	0.25	0.2	0.21	0.33	0.25	0.28
chr11_66634206	0.22	0.09	0.48	0.29	0.52	0.53	0.52	0.5	0.58
chr11_66635720	0.43	0.44	0.5	0.39	0.55	0.41	0.35	0.36	0.33
chr11_66635781	0.25	0.188	0.25	0.273	0.231	0.25	0.25	0.316	0.48
chr11_66636419	0.8	0.33	0.8	0.88	0.67	0.8	0.93	0.92	0.24
chr11_66648757	0.5	0.15	0.364	0.538	0.333	0.333	0.308	0.188	0.333
chr11_66649437	0.12	0.26	0.21	0.23	0.14	0.23	0.16	0.07	0.21
chr11_66649438	0.21	0.29	0.19	0.36	0.33	0.43	0.23	0.18	0.26
chr11_66649447	0.17	0.14	0.17	0.18	0.21	0.12	0.1	0.07	0.19
chr11_66649470	0.42	0.71	0.64	0.7	0.66	0.54	0.78	0.43	0.78
chr11_66649517	0.3	0.47	0.56	0.485	0.35	0.68	0.5	0.14	0.57
chr11_66841956	0.3	0.3	0.357	0.364	0.385	0.3605	0.625	0.636	0.353
chr11_66899753	1	1	1	1	1	1	1	1	1
chr11_66937568	1	1	1	1	1	1	1	1	1
chr11_67132900	0.07	0.07	0.08	0.07	0.07	0.07	0.07	0.06	0.07
chr11_67135945	0.44	0.71	0.4	0.47	0.64	0.63	0.61	0.71	1
chr11_67135992	0.82	0.72	0.69	0.63	0.44	0.5	0.33	0.55	0.81
chr11_67135999	0.154	0.214	0.25	0.222	0.091	0.375	0.222	0.222	0.381
chr11_67136020	0.39	0.47	0.46	0.32	0.2	0.56	0.11	0.27	0.53
chr11_67136023	0.74	0.78	0.65	0.78	0.69	0.55	0.77	0.4	0.82
chr11_67136882	0.58	0.59	0.78	0.37	0.69	0.33	0.65	0.42	0.69
chr11_67136883	0.33	0.21	0.28	0.22	0.19	0.22	0.17	0.33	0.22
chr11_67136887	0.37	0.41	0.41	0.17	0.33	0.35	0.38	0.22	0.61
chr11_67136893	0.24	0.45	0.4	0.15	0.38	0.34	0.3	0.17	0.4
chr11_67136902	0.27	0.23	0.52	0.25	0.22	0.11	0.44	0.15	0.3
chr11_67136908	0.22	0.23	0.42	0.33	0.15	0.31	0.26	0.08	0.28
chr11_67136912	0.54	0.58	0.74	0.37	0.68	0.41	0.72	0.45	0.47
chr11_67136917	0.54	0.49	0.63	0.38	0.45	0.52	0.57	0.31	0.55
chr11_67136928	0.25	0.421	0.233	0.227	0.175	0.308	0.233	0.233	0.158
chr11_67136933	0.097	0.205	0.2	0.207	0.103	0.161	0.082	0.1595	0.158
chr11_67136938	0.24	0.2	0.27	0.28	0.33	0.14	0.07	0.16	0.12
chr11_67136945	0.66	0.41	0.7	0.51	0.37	0.42	0.62	0.28	0.59
chr11_67136948	0.51	0.58	0.65	0.55	0.27	0.23	0.45	0.31	0.39
chr11_67136954	0.55	0.36	0.71	0.42	0.41	0.37	0.61	0.24	0.32
chr11_67136989	0.51	0.38	0.44	0.54	0.42	0.7	0.56	0.21	0.62
chr11_67140105	0.64	0.47	0.38	0.67	0.485	0.5	0.53	0.38	0.3
chr11_67140275	0.33	0.11	0.19	0.19	0.24	0.35	0.26	0.215	0.17
chr11_67140281	0.16	0.14	0.17	0.1	0.28	0.19	0.21	0.21	0.37
chr11_67140286	0.79	0.68	0.51	0.43	0.43	0.75	0.77	0.61	0.69
chr11_67190700	0.61	0.43	0.36	0.42	0.6	0.5	0.58	0.4	0.57
chr11_67191298	0.26	0.28	0.28	0.29	0.22	0.64	0.4	0.28	0.27
chr11_67242303	0.62	0.64	0.57	0.67	0.63	0.62	0.48	0.56	0.65
chr11_67295589	0.46	0.43	0.445	0.32	0.35	0.53	0.5	0.75	0.17
chr11_67295593	0.25	0.6	0.65	0.5	0.47	0.41	0.38	0.36	0.39
chr11_67295615	0.5	0.5	0.5	0.78	0.56	0.29	0.38	0.67	0.47
chr11_67295668	0.52	0.47	0.33	0.8	0.5	0.63	0.52	0.52	0.58
chr11_67426465	0.435	0.167	0.231	0.25	0.385	0.375	0.375	0.3125	0.2
chr11_67426795	0.25	0.11	0.33	0.39	0.39	0.31	0.33	0.33	0.41
chr11_67490920	1	0.92	1	1	1	1	1	1	1
chr11_68055794	0.33	0.25	0.33	0.25	0.32	0.23	0.48	0.285	0.19
chr11_68056774	0.22	0.25	0.22	0.19	0.22	0.33	0.2	0.31	0.17
chr11_68056775	0.31	0.14	0.24	0.31	0.32	0.41	0.32	0.31	0.19
chr11_68056792	0.22	0.17	0.21	0.26	0.12	0.33	0.1	0.25	0.14
chr11_68056838	0.31	0.45	0.31	0.33	0.21	0.8	0.52	0.38	0.35
chr11_68056843	0.722	0.333	0.7	0.769	0.692	0.9	0.652	0.684	0.467
chr11_68058028	0.08	0.16	0.19	0.1	0.14	0.18	0.12	0.15	0.11
chr11_68067400	0.27	0.15	0.57	0.61	0.325	0.6	0.38	0.15	0.2
chr11_68067471	0.62	0.9	1	0.86	0.89	1	0.93	0.8	0.58
chr11_68067473	0.58	0.59	0.585	0.78	0.47	1	0.67	0.33	0.58
chr11_68067483	0.346	0.5	0.5	0.615	0.55	0.385	0.688	0.375	0.5
chr11_68067527	0.48	0.53	0.605	0.59	0.71	0.83	0.62	0.57	0.71
chr11_68067554	0.409	0.6	0.364	0.625	0.571	0.938	0.571	0.545	0.571
chr11_68068538	0.57	0.47	0.7	0.74	0.26	0.84	0.68	0.09	0.26
chr11_68068546	0.26	0.29	0.42	0.24	0.18	0.26	0.35	0.12	0.59
chr11_68068556	0.86	0.53	0.75	0.82	0.73	0.5	0.69	0.41	0.87
chr11_68068569	0.76	0.9	0.79	1	0.91	0.62	0.77	0.64	0.92
chr11_68068574	0.37	0.62	0.55	0.5	0.28	0.43	0.81	0.28	0.67
chr11_68084042	0.38	0.24	0.46	0.21	0.71	0.55	0.53	0.36	0.6
chr11_68084187	0.27	0.27	0.26	0.36	0.47	0.57	0.47	0.39	0.45
chr11_68085259	0.071	0.217	0.291	0.222	0.19	0.281	0.235	0.127	0.062
chr11_68085270	0.06	0.14	0.31	0.13	0.19	0.1	0.13	0.11	0.13
chr11_68085300	0.19	0.26	0.48	0.28	0.26	0.26	0.29	0.14	0.18
chr11_68085335	0.35	0.66	0.36	0.3	0.68	0.6	0.36	0.36	0.34
chr11_68085340	0.57	0.66	0.61	0.62	0.74	0.81	0.8	0.59	0.7
chr11_68085371	0.059	0.121	0.152	0.127	0.113	0.111	0.12	0.045	0.135
chr11_68085383	0.15	0.14	0.21	0.14	0.12	0.14	0.08	0.14	0.14
chr11_68085390	0.023	0.027	0.057	0.052	0.049	0.069	0.049	0.023	0.049
chr11_68085391	0.047	0.101	0.107	0.038	0.057	0.123	0.155	0.052	0.079
chr11_68085392	0.08	0.15	0.08	0.13	0.1	0.1	0.1	0.1	0.08
chr11_68085393	0.055	0.082	0.133	0.076	0.067	0.08	0.04	0.052	0.062
chr11_68085394	0.039	0.036	0.071	0.054	0.047	0.065	0.03	0.023	0.047
chr11_68085420	0.73	0.85	0.83	0.81	0.81	0.79	0.81	0.71	0.89
chr11_68085422	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.07
chr11_68085424	0.08	0.12	0.08	0.08	0.13	0.08	0.08	0.06	0.08
chr11_68085439	0.28	0.31	0.36	0.16	0.21	0.33	0.35	0.14	0.44
chr11_68085440	0.25	0.29	0.35	0.27	0.29	0.41	0.32	0.22	0.29
chr11_68085444	0.215	0.266	0.364	0.203	0.244	0.338	0.388	0.215	0.299
chr11_68085448	0.095	0.07	0.095	0.17	0.095	0.13	0.09	0.06	0.1
chr11_68085458	0.059	0.113	0.143	0.119	0.041	0.127	0.0975	0.033	0.082
chr11_68085467	0.18	0.16	0.3	0.18	0.185	0.19	0.23	0.09	0.2
chr11_68085493	0.08	0.13	0.16	0.08	0.08	0.22	0.07	0.06	0.06
chr11_68085494	0.07	0.06	0.09	0.14	0.07	0.07	0.07	0.07	0.07
chr11_68085824	0.111	0.132	0.322	0.377	0.242	0.28	0.12	0.208	0.143
chr11_68085840	0.16	0.12	0.16	0.15	0.11	0.35	0.26	0.07	0.09
chr11_68085856	0.074	0.073	0.167	0.167	0.102	0.167	0.211	0.269	0.238
chr11_68085860	0.12	0.13	0.3	0.09	0.13	0.16	0.1	0.13	0.25
chr11_68085928	0.35	0.23	0.5	0.46	0.47	0.55	0.42	0.5	0.75
chr11_68086058	0.107	0.116	0.161	0.075	0.171	0.103	0.116	0.116	0.125
chr11_68086231	0.19	0.21	0.42	0.28	0.27	0.17	0.11	0.3	0.25
chr11_68086232	0.22	0.23	0.21	0.31	0.19	0.34	0.18	0.12	0.41
chr11_68086251	0.18	0.29	0.26	0.36	0.19	0.25	0.09	0.36	0.27
chr11_68086282	0.24	0.2	0.24	0.19	0.15	0.31	0.24	0.35	0.35
chr11_68086731	0.18	0.1	0.09	0.13	0.1	0.1	0.11	0.07	0.1
chr11_68086743	0.25	0.11	0.18	0.27	0.19	0.205	0.22	0.11	0.29
chr11_68086923	0.24	0.19	0.31	0.2	0.13	0.45	0.22	0.17	0.26
chr11_68087261	0.106	0.065	0.17	0.176	0.344	0.2	0.162	0.154	0.166
chr11_68087360	0.08	0.075	0.075	0.075	0.075	0.075	0.18	0.07	0.07
chr11_68087370	0.125	0.11	0.32	0.09	0.44	0.14	0.31	0.1	0.09
